description,category,person_names,dates,topics,effects,anatomical_terms
"Summary: Sexual acts between close relatives. Child reported by John Wilson Incident occurred on 23 June 2021, 08 June 2021 Topics involved include harmful cultural practices Effects reported: high rate of bleeding, psychological problems Affected parts: labia majora.",Incest,John Wilson,23 June 2021; 08 June 2021,harmful cultural practices,high rate of bleeding; psychological problems,labia majora
"Case overview: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Robert Waters Incident occurred on 07 August 2021, 09 September 2021 Topics involved include harmful cultural practices Effects reported: HIV Affected parts: genitals.",Sexual assault and Abuse,Robert Waters,07 August 2021; 09 September 2021,harmful cultural practices,HIV,genitals
"Summary: Child engaged in use or trafficking of drugs. Child reported by Craig Gordon Incident occurred on 12 October 2021, 06 April 2021 Topics involved include child marriage, emotional abuse.",Drug and substance abuse,Craig Gordon,12 October 2021; 06 April 2021,child marriage; emotional abuse,,
"Summary: Child engaged in use or trafficking of drugs. Child reported by Kyle Turner, David Davis Incident occurred on 21 December 2021, 21 September 2020 Topics involved include online child abuse, drug and substance abuse Effects reported: infection, high rate of bleeding.",Drug and substance abuse,Kyle Turner; David Davis,21 December 2021; 21 September 2020,online child abuse; drug and substance abuse,infection; high rate of bleeding,
"Reported incident: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Desiree Dixon, Matthew Gray III Incident occurred on 26 April 2021, 15 September 2021 Effects reported: infection.",Abandoned,Desiree Dixon; Matthew Gray III,26 April 2021; 15 September 2021,,infection,
"Case overview: Recruitment or transport of a child for exploitation. Child reported by Timothy Clay Incident occurred on 31 August 2020, 14 June 2022 Topics involved include child marriage, harmful cultural practices Effects reported: high rate of bleeding, HIV Affected parts: labia minora.",Child Trafficking,Timothy Clay,31 August 2020; 14 June 2022,child marriage; harmful cultural practices,high rate of bleeding; HIV,labia minora
"Narrative: A child under 14 unlawfully or forcibly taken or detained. Child reported by Tracy Anderson Incident occurred on 19 March 2022, 18 September 2022 Topics involved include online child abuse, Female Genital Mutilation Effects reported: trauma, anxiety.",Abduction,Tracy Anderson,19 March 2022; 18 September 2022,online child abuse; Female Genital Mutilation,trauma; anxiety,
"Narrative: Practices like FGM, forced marriage, or virginity testing. Child reported by Darren Nielsen, Justin Taylor Incident occurred on 06 November 2020 Topics involved include emotional abuse.",Harmful cultural practices,Darren Nielsen; Justin Taylor,06 November 2020,emotional abuse,,
Reported incident: Acts harming a child's emotional development. Child reported by Monica Atkinson Incident occurred on 07 February 2025 Topics involved include online child abuse Affected parts: genitals.,Emotional abuse,Monica Atkinson,07 February 2025,online child abuse,,genitals
"Reported incident: Hazardous, exploitative or inappropriate work for a child. Child reported by Gregg Martin Incident occurred on 06 July 2020 Topics involved include online child abuse.",Child labor,Gregg Martin,06 July 2020,online child abuse,,
"Reported incident: Child engaged in use or trafficking of drugs. Child reported by Richard Clarke, Eric Wilson Incident occurred on 08 October 2021 Topics involved include child labor, drug and substance abuse Effects reported: infection.",Drug and substance abuse,Richard Clarke; Eric Wilson,08 October 2021,child labor; drug and substance abuse,infection,
"Reported incident: An attempt to penetrate a child. Child reported by Elizabeth Lopez Incident occurred on 08 July 2024 Topics involved include emotional abuse, drug and substance abuse Affected parts: reproductive organs.",Attempted Defilement,Elizabeth Lopez,08 July 2024,emotional abuse; drug and substance abuse,,reproductive organs
Summary: Infliction or failure to prevent physical harm to a child. Child reported by Raymond Walters Incident occurred on 29 May 2021 Topics involved include child marriage Effects reported: high rate of bleeding Affected parts: genitals.,Physical abuse/violence,Raymond Walters,29 May 2021,child marriage,high rate of bleeding,genitals
"Summary: Practices like FGM, forced marriage, or virginity testing. Child reported by Joyce Sanders Incident occurred on 18 August 2020, 18 August 2020 Topics involved include child labor.",Harmful cultural practices,Joyce Sanders,18 August 2020; 18 August 2020,child labor,,
"Narrative: Marriage or cohabitation with a child. Child reported by Erika Mclaughlin, Jesse Hall Incident occurred on 07 June 2020 Topics involved include emotional abuse Effects reported: anxiety Affected parts: labia majora.",Child marriage,Erika Mclaughlin; Jesse Hall,07 June 2020,emotional abuse,anxiety,labia majora
"Narrative: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Dawn Freeman, Theresa Walker Incident occurred on 29 November 2020.",Sexual assault and Abuse,Dawn Freeman; Theresa Walker,29 November 2020,,,
"Case overview: Care and control of a child by law or agreement. Child reported by Matthew Holloway, Heather Dixon Incident occurred on 08 May 2020, 13 February 2023 Topics involved include drug and substance abuse Effects reported: high rate of bleeding, trauma.",Custody,Matthew Holloway; Heather Dixon,08 May 2020; 13 February 2023,drug and substance abuse,high rate of bleeding; trauma,
"Case overview: Right of a child to be registered at birth. Child reported by Lisa Hubbard Incident occurred on 15 April 2022, 07 October 2020.",Registration,Lisa Hubbard,15 April 2022; 07 October 2020,,,
"Case overview: Practices like FGM, forced marriage, or virginity testing. Child reported by Kathryn Morris Incident occurred on 19 February 2025 Topics involved include emotional abuse Effects reported: psychological problems Affected parts: clitoris.",Harmful cultural practices,Kathryn Morris,19 February 2025,emotional abuse,psychological problems,clitoris
Narrative: A child under 14 unlawfully or forcibly taken or detained. Child reported by Danielle Sutton Incident occurred on 05 November 2022 Effects reported: HIV.,Abduction,Danielle Sutton,05 November 2022,,HIV,
"Narrative: A child living, begging, or working on the street. Child reported by Heidi Johnson, Jennifer Walker Incident occurred on 15 July 2021, 21 March 2023 Effects reported: HIV Affected parts: genitals.",Children on the Street,Heidi Johnson; Jennifer Walker,15 July 2021; 21 March 2023,,HIV,genitals
"Reported incident: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Heather Cole Incident occurred on 01 February 2024 Effects reported: anxiety, HIV.",Sexual assault and Abuse,Heather Cole,01 February 2024,,anxiety; HIV,
"Case overview: Girl under 18 who is pregnant. Child reported by Jared Abbott, Tanya Middleton Incident occurred on 16 September 2022 Affected parts: labia minora.",Child Pregnancy,Jared Abbott; Tanya Middleton,16 September 2022,,,labia minora
"Reported incident: Non-medical cutting or injury of female genitals. Child reported by David Hardin Incident occurred on 12 April 2022 Topics involved include online child abuse, emotional abuse Effects reported: psychological problems, high rate of bleeding.",Female Genital Mutilation (FGM),David Hardin,12 April 2022,online child abuse; emotional abuse,psychological problems; high rate of bleeding,
"Summary: Acts harming a child's emotional development. Child reported by Amy Anderson, William Garcia Incident occurred on 22 January 2023, 04 May 2024 Topics involved include Female Genital Mutilation, harmful cultural practices Effects reported: infection Affected parts: clitoris.",Emotional abuse,Amy Anderson; William Garcia,22 January 2023; 04 May 2024,Female Genital Mutilation; harmful cultural practices,infection,clitoris
"Narrative: An attempt to penetrate a child. Child reported by Karen Hubbard Incident occurred on 13 December 2020, 25 February 2024 Topics involved include child marriage Effects reported: infection, anxiety Affected parts: labia minora.",Attempted Defilement,Karen Hubbard,13 December 2020; 25 February 2024,child marriage,infection; anxiety,labia minora
"Narrative: A child under 14 unlawfully or forcibly taken or detained. Child reported by Lisa Blair Incident occurred on 01 July 2021, 06 August 2024 Effects reported: infection.",Abduction,Lisa Blair,01 July 2021; 06 August 2024,,infection,
Summary: Care and control of a child by law or agreement. Child reported by James Mitchell Incident occurred on 15 October 2021 Topics involved include child labor Effects reported: HIV Affected parts: labia minora.,Custody,James Mitchell,15 October 2021,child labor,HIV,labia minora
"Case overview: A child living, begging, or working on the street. Child reported by Linda Arroyo, Debbie Smith Incident occurred on 24 November 2023, 04 May 2022 Topics involved include harmful cultural practices, emotional abuse Effects reported: psychological problems, trauma.",Children on the Street,Linda Arroyo; Debbie Smith,24 November 2023; 04 May 2022,harmful cultural practices; emotional abuse,psychological problems; trauma,
"Narrative: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Andrew Rodriguez Incident occurred on 27 July 2021, 08 November 2022 Effects reported: trauma Affected parts: genitals.",Abandoned,Andrew Rodriguez,27 July 2021; 08 November 2022,,trauma,genitals
"Reported incident: Child engaged in use or trafficking of drugs. Child reported by Vanessa Blair Incident occurred on 16 October 2021 Effects reported: trauma, high rate of bleeding Affected parts: labia minora.",Drug and substance abuse,Vanessa Blair,16 October 2021,,trauma; high rate of bleeding,labia minora
